realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
19007,kuca,prodaja,100.0,1975,,,,True,Centralno,3,,55000.0,Kragujevac,Bresnica,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajem-kuca-samostalna-kuca-kragujevac-bresnica/Nk3kFWlzparD/
19009,kuca,prodaja,150.0,,,,,,Samostalno,4,,40000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/dve-vikendice-u-milatovcu/Nk7y53Ie86f/
19010,kuca,prodaja,100.0,,,,,,,3,,26000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-dragobraca/NkrNqn9lr2r/
19011,kuca,prodaja,160.0,,,,,,Samostalno,5,,148000.0,Beograd,Borča I,https://www.nekretnine.rs/stambeni-objekti/kuce/borca-mihaijla-petrovica/118155/
19012,kuca,prodaja,255.0,2008,,,2,True,Samostalno,10,4,250000.0,Beograd,Palilula,https://www.nekretnine.rs/stambeni-objekti/kuce/visnjica-kuca-sa-4-zasebna-stana/198206/
19013,kuca,prodaja,105.0,,,,,True,Samostalno,3,,120000.0,Zlatibor,Centar,https://www.nekretnine.rs/stambeni-objekti/kuce/zlatibor-obudojevica-dragoljuba-bukvica/195379/
19014,kuca,prodaja,60.0,,,,,,,3,,15000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-bajcetini/NkfiHFesCaX/
19015,kuca,prodaja,150.0,1985,,,1,True,Samostalno,4,2,45000.0,Beograd,Grocka,https://www.nekretnine.rs/stambeni-objekti/kuce/kaludjerica-12-kuce-140m2-3-etaze-2-terase-3ara-2-stanapotkrovlje-ozakonjeno/117403/
19016,kuca,prodaja,400.0,,,,,True,Samostalno,5,,206000.0,Kragujevac,Pivara,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-odlicne-arhitekture-za-vise-namena-porodicno-poslovna-samo-poslovna-itdkvalitetne-gradje/NkmeRSVzJqk/
19017,kuca,prodaja,220.0,,,,,,,5,,145000.0,Kragujevac,Korićani,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kvalitetne-gradje-komplet-sredjena-eg-na-glavnom-putu-pogodna-za-poslovni-prostor/NkIsNYMeuUB/
