realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
21876,kuca,izdavanje,245.0,,,,,,Centralno,5,,4500.0,Beograd,Senjak,https://www.nekretnine.rs/stambeni-objekti/kuce/vila-na-senjaku-vertikala-kuce-temisvarska/NkaG9BkOWG-/
19666,kuca,izdavanje,350.0,,,,,,"Samostalno, Klima",5,,4200.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/savski-venac-lisicji-potok-velisava-vulovica-50-350m2-4200eur/NkNUJxtdccD/
20996,kuca,izdavanje,330.0,,,,3,True,Samostalno,1,1,4200.0,Beograd,Dedinje (Beli dvor),https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-kuca-novogradnja-id27491/NkOFTaYJWLk/
17270,kuca,izdavanje,470.0,1934,,,3,True,"Samostalno, Klima",7,3,4200.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/kuce/luksuzna-vila-na-dedinju-sa-dvoristem-i-bazenom/NkjC7l_jJpl/
17261,kuca,izdavanje,543.0,,,,-1,,Samostalno,12,6,4200.0,Beograd,Zemun (Centar),https://www.nekretnine.rs/stambeni-objekti/kuce/40748-izdavanje-kuca-gardos-4200-eur/NkXEKF4uMB/
21711,kuca,izdavanje,380.0,1939,,,2,,Klima,6,5,4000.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-za-izdavanje-dedinje-380m2-id-2795/Nkw7TC-212I/
20912,kuca,izdavanje,250.0,,250.0,,,,Klima,5,2,4000.0,Beograd,Dedinje (25. maj),https://www.nekretnine.rs/stambeni-objekti/kuce/uzicka-dedinje-id15476/1653025/
19057,kuca,izdavanje,335.0,,,,3,,,10,,4000.0,Beograd,Savski venac,https://www.nekretnine.rs/stambeni-objekti/kuce/lepa-porodicna-kuca-na-dedinju/110401/
17838,kuca,izdavanje,300.0,,,,-1,,"Samostalno, Klima",6,4,4000.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/kuce/40643-izdavanje-kuca-cvetanova-cuprija-4000-eur/NkGHI-d6uQy/
18764,kuca,izdavanje,500.0,,,,-1,,"Samostalno, Klima",14,12,4000.0,Beograd,Lekino brdo,https://www.nekretnine.rs/stambeni-objekti/kuce/12122-izdavanje-kuca-lekino-brdo-4000-eur/1866978/
