realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter
1553,stan,prodaja,71.0,1964,,,5.0,True,Centralno,3.0,,135000.0,Beograd,Klinički centar
1554,stan,prodaja,85.0,,,,9.0,True,Centralno,3.0,,120000.0,Beograd,Novi Beograd Blok 63
1555,stan,prodaja,28.0,2008,,,2.0,True,"Samostalno, Klima",,,35000.0,Beograd,Petlovo brdo
1556,stan,prodaja,103.0,1934,,,4.0,True,Centralno,3.0,,360000.0,Beograd,Centar (uži)
1557,stan,prodaja,50.0,2008,,,1.0,True,Samostalno,2.0,,88250.0,Beograd,Karaburma
1558,stan,prodaja,64.0,1990,,,3.0,True,Centralno,4.0,,65000.0,Beograd,Borča I
1559,stan,prodaja,62.0,,,,8.0,True,Centralno,2.0,,95500.0,Beograd,Novi Beograd Blok 37
1560,stan,prodaja,68.0,,,,3.0,True,Centralno,2.0,,108000.0,Beograd,Novi Beograd Blok 71
1561,stan,prodaja,91.0,2014,,,6.0,True,Centralno,3.0,,149990.0,Beograd,Voždovac
1562,stan,prodaja,101.0,1968,,,4.0,True,Centralno,4.0,,185000.0,Beograd,Zemun (Cara Dušana)
1563,stan,prodaja,38.0,1962,,,2.0,True,Samostalno,1.0,,62000.0,Beograd,Bežanija
1564,stan,prodaja,41.0,1980,,,6.0,True,Centralno,2.0,,105000.0,Beograd,Gornji Dorćol
1565,stan,prodaja,61.0,,,,11.0,True,Centralno,2.0,,111900.0,Beograd,Novi Beograd Blok 1 (Fontana)
1566,stan,prodaja,80.0,1960,,,,True,Samostalno,3.0,,49000.0,Beograd,Bele vode
1567,stan,prodaja,51.0,,,,2.0,True,Centralno,2.0,,187000.0,Beograd,Palilula
1568,stan,prodaja,107.0,1958,,,1.0,True,Samostalno,3.0,,300000.0,Beograd,Gornji Dorćol
1569,stan,prodaja,78.0,1937,,,3.0,True,"Centralno, Samostalno",3.0,,170000.0,Beograd,Beograđanka ( centar )
1570,stan,prodaja,76.0,,,,9.0,True,Centralno,3.0,,80000.0,Beograd,Braće Jerković
1571,stan,prodaja,70.0,,,,11.0,True,Centralno,2.0,,100000.0,Beograd,Novi Beograd Blok 30 (B92)
1572,stan,prodaja,90.0,,,,1.0,True,"Centralno, Klima",3.0,,94000.0,Beograd,Konjarnik
1573,stan,prodaja,59.0,,,,4.0,True,Centralno,3.0,,93000.0,Beograd,Novi Beograd Blok 72
1574,stan,prodaja,76.0,,,,2.0,True,Centralno,2.0,,98000.0,Beograd,Novi Beograd Blok 61
1575,stan,prodaja,37.0,1958,,,2.0,True,"Samostalno, Klima",2.0,,95000.0,Beograd,Kalenić pijaca
1576,stan,prodaja,73.0,1974,,,1.0,True,Centralno,2.0,,85000.0,Beograd,Konjarnik
1578,stan,prodaja,109.0,2011,,,,True,Samostalno,2.0,,102200.0,Beograd,Lekino brdo
1579,stan,prodaja,83.0,2012,,,,True,Centralno,3.0,,129000.0,Beograd,Voždovac
1581,stan,prodaja,115.0,,,3.0,1.0,True,Centralno,4.0,,300000.0,Beograd,Kalenić pijaca
1582,stan,prodaja,69.0,,,7.0,3.0,True,Centralno,3.0,,165000.0,Beograd,Zvezdara
1583,stan,prodaja,33.0,,,,,True,Samostalno,,1.0,45000.0,Beograd,Savski venac
1584,stan,izdavanje,52.0,,,3.0,3.0,True,"Samostalno, Klima",5.0,1.0,130.0,Beograd,Voždovac
1585,stan,prodaja,26.0,2006,,,1.0,True,Centralno,,,30000.0,Niš,Duvanište
1587,kuca,prodaja,,2020,350.0,5.0,5.0,True,,,,2309.0,Beograd,Vračar (Centar)
1614,kuca,prodaja,,2017,60.0,,,True,"Centralno, Klima",3.0,,1320.0,Beograd,Zvezdara
1590,stan,prodaja,40.0,,,,,True,Samostalno,,,1800.0,Beograd,Lekino brdo
1592,stan,prodaja,64.0,,,,3.0,True,Centralno,,,115500.0,Beograd,Palilula
1593,stan,prodaja,52.0,,,6.0,4.0,True,Centralno,3.0,,85000.0,Beograd,Banovo brdo
1599,stan,izdavanje,117.0,,,,1.0,True,Centralno,4.0,,1600.0,Beograd,Dedinje (Beli dvor)
1600,stan,prodaja,138.0,,,4.0,3.0,True,Centralno,4.0,3.0,234000.0,Beograd,Lekino brdo
1601,stan,prodaja,,,,4.0,,True,Centralno,,,,Beograd,Voždovac
1617,stan,prodaja,84.0,,,5.0,,True,,2.0,,100000.0,Beograd,Zvezdara
1620,stan,izdavanje,43.0,,,6.0,4.0,True,Centralno,2.0,1.0,400.0,Beograd,Palilula
1621,stan,prodaja,96.0,,,2.0,1.0,True,,3.0,2.0,45000.0,Niš,Palilula
1622,stan,prodaja,54.0,,,6.0,4.0,True,Centralno,2.0,,54000.0,Niš,Centar
1626,stan,prodaja,21.0,,,,1.0,True,Centralno,1.0,1.0,45900.0,Beograd,Novi Beograd Blok 4 (Politehnička akademija)
1627,stan,prodaja,110.0,,,,3.0,True,Centralno,4.0,1.0,340000.0,Beograd,Kalemegdan
1629,stan,izdavanje,75.0,,,8.0,6.0,True,Centralno,3.0,1.0,400.0,Beograd,Crveni krst
1630,stan,prodaja,38.0,,,,1.0,True,,,,1600.0,Zlatibor,Obudojevica
1631,stan,prodaja,56.0,,,5.0,2.0,True,Centralno,3.0,,88000.0,Beograd,Konjarnik
1670,kuca,prodaja,36.0,2020,1000.0,4.0,1.0,True,Samostalno,1.0,,43200.0,Zlatibor,Palisad
1636,stan,prodaja,,,,,,True,Centralno,,,,Beograd,Voždovac
1652,stan,prodaja,73.0,,,8.0,5.0,True,Centralno,3.0,,125000.0,Beograd,Novi Beograd Blok 38 (OŠ Ratko Mitrović)
1657,stan,prodaja,99.0,,,6.0,1.0,True,Centralno,4.0,,247000.0,Beograd,Savski venac
1658,stan,izdavanje,64.0,,,3.0,1.0,True,,2.0,1.0,750.0,Beograd,Senjak
1659,stan,prodaja,166.0,,,4.0,3.0,True,Centralno,7.0,2.0,224000.0,Novi Sad,Rotkvarija
